ligand_id,target_id,replicate,docked_pdbqt,docked_sdf,energies
LTHC,1z95,8,"['/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/LTHC/1z95_LTHC_0_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/LTHC/1z95_LTHC_1_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/LTHC/1z95_LTHC_2_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/LTHC/1z95_LTHC_3_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/LTHC/1z95_LTHC_4_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/LTHC/1z95_LTHC_5_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/LTHC/1z95_LTHC_6_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/LTHC/1z95_LTHC_7_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/LTHC/1z95_LTHC_8_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/LTHC/1z95_LTHC_9_replicate8.pdbqt']","['/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/LTHC/1z95_LTHC_0_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/LTHC/1z95_LTHC_1_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/LTHC/1z95_LTHC_2_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/LTHC/1z95_LTHC_3_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/LTHC/1z95_LTHC_4_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/LTHC/1z95_LTHC_5_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/LTHC/1z95_LTHC_6_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/LTHC/1z95_LTHC_7_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/LTHC/1z95_LTHC_8_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/LTHC/1z95_LTHC_9_replicate8.sdf']","[-7.594, -7.594, -7.594, -7.594, -7.594, -7.594, -7.594, -7.594, -7.594, -7.594]"
5FAKB48,1z95,8,"['/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/5FAKB48/1z95_5FAKB48_0_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/5FAKB48/1z95_5FAKB48_1_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/5FAKB48/1z95_5FAKB48_2_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/5FAKB48/1z95_5FAKB48_3_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/5FAKB48/1z95_5FAKB48_4_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/5FAKB48/1z95_5FAKB48_5_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/5FAKB48/1z95_5FAKB48_6_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/5FAKB48/1z95_5FAKB48_7_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/5FAKB48/1z95_5FAKB48_8_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/5FAKB48/1z95_5FAKB48_9_replicate8.pdbqt']","['/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/5FAKB48/1z95_5FAKB48_0_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/5FAKB48/1z95_5FAKB48_1_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/5FAKB48/1z95_5FAKB48_2_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/5FAKB48/1z95_5FAKB48_3_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/5FAKB48/1z95_5FAKB48_4_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/5FAKB48/1z95_5FAKB48_5_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/5FAKB48/1z95_5FAKB48_6_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/5FAKB48/1z95_5FAKB48_7_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/5FAKB48/1z95_5FAKB48_8_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/5FAKB48/1z95_5FAKB48_9_replicate8.sdf']","[-7.637, -7.637, -7.637, -7.637, -7.637, -7.637, -7.637, -7.637, -7.637, -7.637]"
CBN,1z95,8,"['/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBN/1z95_CBN_0_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBN/1z95_CBN_1_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBN/1z95_CBN_2_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBN/1z95_CBN_3_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBN/1z95_CBN_4_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBN/1z95_CBN_5_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBN/1z95_CBN_6_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBN/1z95_CBN_7_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBN/1z95_CBN_8_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBN/1z95_CBN_9_replicate8.pdbqt']","['/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBN/1z95_CBN_0_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBN/1z95_CBN_1_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBN/1z95_CBN_2_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBN/1z95_CBN_3_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBN/1z95_CBN_4_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBN/1z95_CBN_5_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBN/1z95_CBN_6_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBN/1z95_CBN_7_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBN/1z95_CBN_8_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBN/1z95_CBN_9_replicate8.sdf']","[-7.166, -7.166, -7.166, -7.166, -7.166, -7.166, -7.166, -7.166, -7.166, -7.166]"
CBD,1z95,8,"['/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBD/1z95_CBD_1_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBD/1z95_CBD_0_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBD/1z95_CBD_2_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBD/1z95_CBD_3_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBD/1z95_CBD_4_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBD/1z95_CBD_5_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBD/1z95_CBD_6_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBD/1z95_CBD_8_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBD/1z95_CBD_7_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBD/1z95_CBD_9_replicate8.pdbqt']","['/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBD/1z95_CBD_1_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBD/1z95_CBD_0_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBD/1z95_CBD_2_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBD/1z95_CBD_3_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBD/1z95_CBD_4_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBD/1z95_CBD_5_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBD/1z95_CBD_6_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBD/1z95_CBD_8_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBD/1z95_CBD_7_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/CBD/1z95_CBD_9_replicate8.sdf']","[-6.993, -6.993, -6.993, -6.993, -6.993, -6.993, -6.993, -6.993, -6.993, -6.993]"
MDMBCHMINACA,1z95,8,"['/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/MDMBCHMINACA/1z95_MDMBCHMINACA_0_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/MDMBCHMINACA/1z95_MDMBCHMINACA_1_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/MDMBCHMINACA/1z95_MDMBCHMINACA_2_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/MDMBCHMINACA/1z95_MDMBCHMINACA_3_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/MDMBCHMINACA/1z95_MDMBCHMINACA_5_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/MDMBCHMINACA/1z95_MDMBCHMINACA_4_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/MDMBCHMINACA/1z95_MDMBCHMINACA_6_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/MDMBCHMINACA/1z95_MDMBCHMINACA_7_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/MDMBCHMINACA/1z95_MDMBCHMINACA_8_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/MDMBCHMINACA/1z95_MDMBCHMINACA_9_replicate8.pdbqt']","['/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/MDMBCHMINACA/1z95_MDMBCHMINACA_0_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/MDMBCHMINACA/1z95_MDMBCHMINACA_1_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/MDMBCHMINACA/1z95_MDMBCHMINACA_2_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/MDMBCHMINACA/1z95_MDMBCHMINACA_3_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/MDMBCHMINACA/1z95_MDMBCHMINACA_5_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/MDMBCHMINACA/1z95_MDMBCHMINACA_4_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/MDMBCHMINACA/1z95_MDMBCHMINACA_6_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/MDMBCHMINACA/1z95_MDMBCHMINACA_7_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/MDMBCHMINACA/1z95_MDMBCHMINACA_8_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/MDMBCHMINACA/1z95_MDMBCHMINACA_9_replicate8.sdf']","[-8.673, -8.673, -8.673, -8.673, -8.673, -8.673, -8.673, -8.673, -8.673, -8.673]"
HU210,1z95,8,"['/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/HU210/1z95_HU210_0_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/HU210/1z95_HU210_1_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/HU210/1z95_HU210_2_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/HU210/1z95_HU210_3_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/HU210/1z95_HU210_4_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/HU210/1z95_HU210_5_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/HU210/1z95_HU210_6_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/HU210/1z95_HU210_7_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/HU210/1z95_HU210_9_replicate8.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/HU210/1z95_HU210_8_replicate8.pdbqt']","['/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/HU210/1z95_HU210_0_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/HU210/1z95_HU210_1_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/HU210/1z95_HU210_2_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/HU210/1z95_HU210_3_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/HU210/1z95_HU210_4_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/HU210/1z95_HU210_5_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/HU210/1z95_HU210_6_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/HU210/1z95_HU210_7_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/HU210/1z95_HU210_9_replicate8.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 8/HU210/1z95_HU210_8_replicate8.sdf']","[-4.707, -4.707, -4.707, -4.707, -4.707, -4.707, -4.707, -4.707, -4.707, -4.707]"
Testosterone,1z95,9,"['/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/Testosterone/1z95_Testosterone_1_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/Testosterone/1z95_Testosterone_0_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/Testosterone/1z95_Testosterone_5_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/Testosterone/1z95_Testosterone_3_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/Testosterone/1z95_Testosterone_4_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/Testosterone/1z95_Testosterone_2_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/Testosterone/1z95_Testosterone_6_replicate9.pdbqt']","['/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/Testosterone/1z95_Testosterone_1_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/Testosterone/1z95_Testosterone_0_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/Testosterone/1z95_Testosterone_5_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/Testosterone/1z95_Testosterone_3_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/Testosterone/1z95_Testosterone_4_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/Testosterone/1z95_Testosterone_2_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/Testosterone/1z95_Testosterone_6_replicate9.sdf']","[-7.42, -7.42, -7.42, -7.42, -7.42, -7.42, -7.42]"
DTHC,1z95,9,"['/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DTHC/1z95_DTHC_0_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DTHC/1z95_DTHC_1_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DTHC/1z95_DTHC_5_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DTHC/1z95_DTHC_3_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DTHC/1z95_DTHC_2_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DTHC/1z95_DTHC_4_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DTHC/1z95_DTHC_6_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DTHC/1z95_DTHC_7_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DTHC/1z95_DTHC_9_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DTHC/1z95_DTHC_8_replicate9.pdbqt']","['/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DTHC/1z95_DTHC_0_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DTHC/1z95_DTHC_1_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DTHC/1z95_DTHC_5_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DTHC/1z95_DTHC_3_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DTHC/1z95_DTHC_2_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DTHC/1z95_DTHC_4_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DTHC/1z95_DTHC_6_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DTHC/1z95_DTHC_7_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DTHC/1z95_DTHC_9_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DTHC/1z95_DTHC_8_replicate9.sdf']","[-7.602, -7.602, -7.602, -7.602, -7.602, -7.602, -7.602, -7.602, -7.602, -7.602]"
R1881,1z95,9,"['/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/R1881/1z95_R1881_1_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/R1881/1z95_R1881_0_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/R1881/1z95_R1881_2_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/R1881/1z95_R1881_3_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/R1881/1z95_R1881_4_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/R1881/1z95_R1881_5_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/R1881/1z95_R1881_6_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/R1881/1z95_R1881_7_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/R1881/1z95_R1881_8_replicate9.pdbqt']","['/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/R1881/1z95_R1881_1_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/R1881/1z95_R1881_0_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/R1881/1z95_R1881_2_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/R1881/1z95_R1881_3_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/R1881/1z95_R1881_4_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/R1881/1z95_R1881_5_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/R1881/1z95_R1881_6_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/R1881/1z95_R1881_7_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/R1881/1z95_R1881_8_replicate9.sdf']","[-9.532, -9.532, -9.532, -9.532, -9.532, -9.532, -9.532, -9.532, -9.532]"
DHT,1z95,9,"['/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DHT/1z95_DHT_2_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DHT/1z95_DHT_0_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DHT/1z95_DHT_1_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DHT/1z95_DHT_3_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DHT/1z95_DHT_4_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DHT/1z95_DHT_5_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DHT/1z95_DHT_7_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DHT/1z95_DHT_6_replicate9.pdbqt']","['/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DHT/1z95_DHT_2_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DHT/1z95_DHT_0_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DHT/1z95_DHT_1_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DHT/1z95_DHT_3_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DHT/1z95_DHT_4_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DHT/1z95_DHT_5_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DHT/1z95_DHT_7_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/DHT/1z95_DHT_6_replicate9.sdf']","[-7.48, -7.48, -7.48, -7.48, -7.48, -7.48, -7.48, -7.48]"
RBICALUTAMIDE,1z95,9,"['/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/RBICALUTAMIDE/1z95_RBICALUTAMIDE_3_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/RBICALUTAMIDE/1z95_RBICALUTAMIDE_0_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/RBICALUTAMIDE/1z95_RBICALUTAMIDE_1_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/RBICALUTAMIDE/1z95_RBICALUTAMIDE_2_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/RBICALUTAMIDE/1z95_RBICALUTAMIDE_4_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/RBICALUTAMIDE/1z95_RBICALUTAMIDE_6_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/RBICALUTAMIDE/1z95_RBICALUTAMIDE_5_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/RBICALUTAMIDE/1z95_RBICALUTAMIDE_7_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/RBICALUTAMIDE/1z95_RBICALUTAMIDE_8_replicate9.pdbqt', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/RBICALUTAMIDE/1z95_RBICALUTAMIDE_9_replicate9.pdbqt']","['/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/RBICALUTAMIDE/1z95_RBICALUTAMIDE_3_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/RBICALUTAMIDE/1z95_RBICALUTAMIDE_0_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/RBICALUTAMIDE/1z95_RBICALUTAMIDE_1_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/RBICALUTAMIDE/1z95_RBICALUTAMIDE_2_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/RBICALUTAMIDE/1z95_RBICALUTAMIDE_4_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/RBICALUTAMIDE/1z95_RBICALUTAMIDE_6_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/RBICALUTAMIDE/1z95_RBICALUTAMIDE_5_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/RBICALUTAMIDE/1z95_RBICALUTAMIDE_7_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/RBICALUTAMIDE/1z95_RBICALUTAMIDE_8_replicate9.sdf', '/home/screener/files/prost_canc/crest_vinardo/results/1z95/replicate 9/RBICALUTAMIDE/1z95_RBICALUTAMIDE_9_replicate9.sdf']","[-10.434, -10.434, -10.434, -10.434, -10.434, -10.434, -10.434, -10.434, -10.434, -10.434]"
